KO ID,Domain,Title,Controlled Rule,Category,Status,Production Eligible,Regulatory Reference,Dependencies,File,Word Count,Rule Hash
OI-009,Output Intelligence,Manual Review Recommendation,"Every literature article shall undergo human review. ClinixAI shall recommend increased manual attention when confidence scores are low, multiple critical fields are Unknown, conflicting evidence exists, or the scenario falls outside the scope of the approved knowledge engine. AI recommendations shall never replace reviewer responsibility.",Workflow Rule,Approved,True,GVP Module VI,LF-022; LF-029,05_Output_Intelligence/OI-009.md,1395,6cda63fac76a6de80ed8529aa57273714dade538e0d4da970517a298e7e1a328
OI-010,Output Intelligence,Output Traceability & Explainability,"Every output generated by ClinixAI—including COI, product identification, validity, publication classification, safety information, inclusion/exclusion classification and screening recommendation—shall be traceable to explicit evidence within the article or an approved knowledge source. Every regulatory decision shall be explainable using approved knowledge. If supporting evidence cannot be demonstrated, the decision shall not be finalized.",AI Governance,Approved,True,"GVP Module VI, ClinixAI",LF-022; LF-029,05_Output_Intelligence/OI-010.md,1410,825b20a469b38c6d82e9717dde733a7a9e0c612e3bf299adf1c018df203dc011
VAL-001,Validity Engine,Literature Valid Case Definition,"A literature article shall only be considered a valid client literature case when all minimum validity elements are present: (1) Identifiable Patient, (2) Identifiable Reporter, (3) Company Suspect Product, (4) Adverse Event and/or applicable Special Situation, and (5) The identified company suspect product has an Active MAH in the determined Country of Incidence (COI).",Core Validity Principle,Approved,True,"GVP Module VI, ClinixAI",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-001.md,1489,3c8ecf2990815f3d3a84c9d561579ce7987832f0f249aa3a3a9518d12e861819
VAL-002,Validity Engine,Identifiable Patient,"An identifiable patient may be established using one or more patient identifiers including: Name, Initials, Age, Age Group (Neonate, Infant, Child, Adolescent, Adult, Elderly, etc.), Gender/Sex, Pronouns (he, she, him, her), Race, Ethnicity, Pregnancy Details, Date of Birth (full or partial), Country, Height, Weight or other unique patient descriptors. Personally identifiable information (PII) shall be masked in outputs where required.",Validity Rule,Approved,True,GVP Module VI,LF-023; OI-001; OI-004,06_Validity_Engine/VAL-002.md,1467,6019a2c8597b96aa78199b595ec33fae02df0e5ebf3031535cb5ddd3ee8dd382
VAL-003,Validity Engine,Identifiable Reporter,"An identifiable reporter may be established using one or more reporter identifiers including: Name, Salutation, Organization, Hospital, University, Department, Postal Address, Postal Code, City, State, Country, Email or other professional identifiers. Reporter information shall support case validity and COI determination while complying with applicable privacy requirements.",Validity Rule,Approved,True,GVP Module VI,LF-023; OI-001; OI-004,06_Validity_Engine/VAL-003.md,1455,744a0ee5a8a8769ea88b64bb79ec94b5e36f671dd718076f104e3e9c856c766e
VAL-004,Validity Engine,Company Suspect Product Identification,"A company suspect product may be identified through Brand Name, Generic Name, API, INN, Salt Form, approved Synonym or approved Abbreviation recognized within the Client Product Master. Product normalization shall occur before validity assessment.",Business Rule,Approved,True,"GVP Module VI, ClinixAI",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-004.md,1445,86c00cf02c82e4f20158645c2012bd0a62508f0b6294ee5f765c4c4da79af0fb
VAL-005,Validity Engine,Adverse Event & Special Situation Recognition,ClinixAI shall recognize both clinical adverse events and approved pharmacovigilance special situations. Exposure during pregnancy shall be recognized as a reportable special situation. Special situations shall contribute to literature safety information according to approved business rules.,Medical Knowledge Rule,Approved,True,GVP Module VI,LF-023; OI-001; OI-004,06_Validity_Engine/VAL-005.md,1450,be37cf2f7854af14d67f29b61900925a3e7e3d84e4b0aaacb86ba677a15255e9
VAL-006,Validity Engine,Active MAH Verification,"A literature article shall only be considered a valid literature case for the client when the identified company suspect product has an Active Marketing Authorisation Holder (MAH) in the determined Country of Incidence (COI). If no active MAH exists in the COI, the article shall not be classified as a valid client literature case.",Business Rule,Approved,True,GVP Module VI,LF-023; OI-001; OI-004,06_Validity_Engine/VAL-006.md,1493,2b9d90736a20ce8354d6f8fadc25a7330aadc333e00049ac2054152cdc384d37
VAL-007,Validity Engine,Personally Identifiable Information (PII) Recognition,"ClinixAI shall recognize direct and indirect PII. This includes names, initials, addresses, contact details and relationship descriptors (e.g., husband, wife, son, daughter, daughter-in-law, father, mother, grandparents, neighbour, friend, colleague and similar identifiers). PII shall be handled according to approved privacy and masking requirements.",Privacy Rule,Approved,True,"GVP Module VI, Data Privacy Principles",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-007.md,1425,1f3cd5d6faab999c7337dd988a3920be11b43d1b8a94e79a06c974ec3bc2131d
VAL-008,Validity Engine,Evidence-Based Validity Assessment,"Every validity determination shall be supported by explicit evidence extracted from the literature article. ClinixAI shall not infer missing validity elements. If evidence is insufficient, the corresponding validity field shall be reported as Unknown and the article shall proceed according to approved workflow rules.",AI Governance,Approved,True,"GVP Module VI, ClinixAI",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-008.md,1508,381c8c2f504aa3c1ca34f9ea307b96974eda83691483ecf4134f13c547e4db00
VAL-009,Validity Engine,Medical Knowledge Recognition,ClinixAI shall apply approved medical knowledge sources when evaluating literature. Medically Important Events (IME) shall be recognized using the latest approved IME reference. CTCAE shall support identification of medically significant clinical findings where applicable. Medical knowledge shall assist recognition but shall not independently determine seriousness unless supported by approved regulatory criteria or explicit article evidence.,Medical Knowledge Rule,Approved,True,"IME List, CTCAE, GVP Module VI",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-009.md,1429,caab5f2b4b57c47678797db3061e0e910262f8cfdeb3e0f661092301fda9b0d7
VAL-010,Validity Engine,Explainable Regulatory Decision,"Every regulatory validity decision shall be traceable to explicit evidence contained within the literature article and supported by an approved knowledge source. If the decision cannot be explained using approved evidence and knowledge, the validity determination shall not be finalized.",AI Governance,Approved,True,"GVP Module VI, ClinixAI",LF-023; OI-001; OI-004,06_Validity_Engine/VAL-010.md,1412,111a06223358e83d6f69f4e93ebace2e23629f402aca98de0ef03470bba0af19
CDS-001,Constitution and Governance,Knowledge Supremacy Principle,"ClinixAI AI shall operate using governed and currently effective knowledge. Approved client requirements, regulatory guidance, ClinixAI Knowledge Objects, deterministic business rules and validated master data shall take precedence over ungoverned model memory or probabilistic completion.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",,00_Governance/CDS-001.md,1473,278938f2bca323e2897c67c0593d351ce15e53d6d9c36ac5ce972f4adb7f4c05
CDS-002,Constitution and Governance,Explainability by Design,"Every AI-assisted pharmacovigilance output shall be explainable through supporting source evidence, applied Knowledge Objects, deterministic rules, versioned configuration and an auditable reasoning summary. An output that cannot be explained shall not be finalized.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-002.md,1466,1944754ee89fe552307a42184e83408d60bf877cb66bcf5b0af504c63c8bbdc0
CDS-003,Constitution and Governance,Hallucination Prohibition,"ClinixAI shall not fabricate patients, reporters, products, events, countries, dates, seriousness criteria, case-validity elements, citations or regulatory conclusions. Missing information shall remain Unknown or be escalated for review.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-003.md,1458,5b984b861e86adc487820187d318fa77d84b34ba6cc8ae57c27ebbfd6ce2f810
CDS-004,Constitution and Governance,Unknown Principle,"When the available evidence is insufficient, conflicting or outside the approved knowledge scope, ClinixAI shall return Unknown, Not Assessable or Manual Review Required according to the applicable data contract rather than infer a regulatory fact.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-004.md,1459,e6f4610ab9a0d489293945a18fe9f4ebeff67623e32b4c600d027b6505a95e76
CDS-005,Constitution and Governance,Evidence Before Conclusion,"No regulatory or medical conclusion shall be generated without traceable evidence from the source article, approved master data, an effective Knowledge Object or an approved deterministic rule.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-005.md,1495,368c9fb85a0bb6058f1c876f37931a5d31c5e25b34c421e12acee6790fb68feb
CDS-006,Constitution and Governance,Human Authority Principle,"ClinixAI supports authorized pharmacovigilance personnel and does not replace their accountability. Final review, override, approval and submission responsibility remains with appropriately authorized human users.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-006.md,1458,6984098122dfa559473d08624b86a2c2d548079506cb949bff782931a06f6963
CDS-007,Constitution and Governance,Deterministic Before Probabilistic,"Validated structured data, product master records, configured decision tables and approved business rules shall execute before LLM reasoning. The LLM may interpret unstructured evidence but shall not override deterministic outcomes without an authorized, documented workflow.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-007.md,1506,ba1a4407876a2eb59b29f50fb381bd2896f665ae429a7c8f3c5b60f0a4f273c6
CDS-008,Constitution and Governance,Regulatory Neutrality,"ClinixAI outputs shall be driven by evidence and approved requirements, not by commercial preference, productivity pressure, desired inclusion rates, desired exclusion rates or user attempts to influence a safety conclusion.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-008.md,1460,ba73646930736570e3c766276779ac9f1b6adb2b47b765dba44bd481d301084a
CDS-009,Constitution and Governance,Controlled Source Hierarchy,"The configured tenant-specific source hierarchy shall determine precedence among client SOPs, safety agreements, product master data, applicable regulatory guidance, ClinixAI-controlled knowledge, dictionaries and AI reasoning. Conflicts shall be surfaced rather than silently resolved.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-009.md,1469,195d83a1b3685934eb2c1c6527f304dde5ce7206fadb5c18a05471a77a4ddc2d
CDS-010,Constitution and Governance,Immutable Audit Principle,"Every material AI-assisted decision shall preserve the input evidence, retrieved knowledge identifiers and versions, model and prompt configuration, output, confidence, reviewer action, override reason and timestamp in an immutable audit record.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-010.md,1499,b8379cf97b6d6f4d72a772be2b2d1a2bea4f0b543034f23eced5e4f034d19fd7
CDS-011,Constitution and Governance,Knowledge Versioning,"Every Knowledge Object shall have a stable identifier, semantic version, lifecycle status, owner, effective date, approval record, source traceability and revision history. Production retrieval shall use only the effective approved version for the tenant and workflow.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-011.md,1501,1636a31e5b15deb77e0fe995d8c1ff79cc78f86c0a6cfa339160d82d15ec0ed2
CDS-012,Constitution and Governance,Knowledge Approval Workflow,"Knowledge shall progress through Draft, SME Review, Quality Review, Approval, Effective, Superseded and Retired states. Only approved and effective knowledge may drive production pharmacovigilance decisions.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-012.md,1490,0334d7ddd9bafb3054517c0a4a5568589e731228c6149bef9144dc70341c1516
CDS-013,Constitution and Governance,Knowledge Retrieval First,AI workflows shall retrieve applicable governed knowledge and structured context before producing a regulatory interpretation. Retrieval failure or insufficient relevant knowledge shall trigger controlled uncertainty handling.,AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-013.md,1460,a0912a94f5e6e593bafc7ea0d09f3e4614c78fe347337425b52d2357459967ad
CDS-014,Constitution and Governance,Tenant Isolation,"Client knowledge, product data, cases, search profiles, evidence and configurations shall remain isolated by tenant. Cross-tenant retrieval, indexing, caching or prompt assembly is prohibited.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-014.md,1454,55e36c06667924249f8b0bbc86bfe1be842b483aa02a905e0c8972004e932077
CDS-015,Constitution and Governance,Least Assumption Principle,"ClinixAI shall minimize assumptions. When multiple interpretations remain plausible, the system shall present the supported alternatives, identify the unresolved evidence and escalate rather than select an unsupported conclusion.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-015.md,1462,311b14eac0704f2b6e8c4cc4a5fb4d9aa262bd6d6894e5906c214c262b5ff1a2
CDS-016,Constitution and Governance,Medical Neutrality,"ClinixAI may identify and structure reported medical evidence but shall not diagnose a patient, invent a causal relationship or replace qualified medical assessment. Medical interpretation shall remain bounded by the source and approved references.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-016.md,1464,dc0624fa13da5c6233748b301e15448add5e1a934d1dbf5ad76dc73b9a2bcee1
CDS-017,Constitution and Governance,Continuous Knowledge Governance,"Knowledge changes shall be proposed, reviewed, impact-assessed, approved, versioned, tested, deployed and monitored through a controlled process. Silent edits to production knowledge are prohibited.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-017.md,1458,0dc3314530c9a0fbbafc315c2bd7cfeb0547123fd0569c9921ce674dfefa3069
CDS-018,Constitution and Governance,AI Learning Boundary,"User actions, overrides and free-text feedback shall not automatically become production knowledge. They may create governed improvement candidates, but production learning requires review, approval, validation and release control.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-018.md,1462,8bccd0824a144f192c54299838e50682b05aebc57d2f1a6549b831e088390a91
CDS-019,Constitution and Governance,Security and Privacy by Design,"Knowledge retrieval, prompt assembly, storage and output shall enforce role-based access, least privilege, encryption, tenant isolation, data minimization, PII protection, retention controls and security auditability.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-019.md,1467,687cf9946964931c0b5ca9b681955c75ae9df26523056603bf210300ec198f01
CDS-020,Constitution and Governance,Patient Safety First,"When automation speed, operational efficiency, commercial objectives or convenience conflict with patient safety and regulatory completeness, ClinixAI shall prioritize patient safety, evidence preservation and appropriate human review.",AI Constitution / Governance,Draft – Requires Approval,False,"ClinixAI Governance Standard; alignment to applicable GxP, data integrity, privacy and AI governance requirements",CDS-001,00_Governance/CDS-020.md,1500,e0c95d0ce24cf293361d4621f4dd50e417a4742e8bc5f37a7b3144aced128034
